County,MedianFamilyIncome,LATracts_half,LATracts1,HUNVFlag
Finney County,65694.0,8,4,0.08333333333333333
Fisher County,59490.5,0,0,0.0
Flagler County,60574.0,15,14,0.1
Flathead County,69167.0,6,3,0.10526315789473684
Fleming County,52754.0,0,0,0.25
Florence County,55919.0,16,8,0.5
Floyd County,59603.5,32,21,0.31666666666666665
Fluvanna County,88572.0,1,1,0.0
Foard County,54306.0,0,0,0.0
Fond du Lac County,74766.5,13,8,0.3
Ford County,62211.0,6,4,0.08333333333333333
Forest County,50875.0,0,0,0.0
Forrest County,46313.0,12,6,0.4117647058823529
Forsyth County,77222.0,120,98,0.1897810218978102
Fort Bend County,92706.0,66,43,0.09333333333333334
Foster County,77891.0,0,0,0.0
Fountain County,61389.0,1,0,0.0
Franklin County,64158.0,308,159,0.2587991718426501
Franklin Parish,50927.5,1,1,0.3333333333333333
Franklin city,50240.5,2,2,0.5
Frederick County,105000.0,44,29,0.09333333333333334
Fredericksburg city,83712.0,5,2,0.4
Freeborn County,68391.5,4,3,0.3
Freestone County,61964.0,3,2,0.0
Fremont County,63529.0,12,9,0.14814814814814814
Fresno County,50662.0,153,47,0.18274111675126903
Frio County,45625.0,2,2,0.0
Frontier County,63571.0,0,0,0.0
Fulton County,67826.5,189,104,0.36693548387096775
Furnas County,62333.0,0,0,0.0
Gadsden County,49375.0,1,1,0.6666666666666666
Gage County,65924.0,3,2,0.0
Gaines County,62620.0,1,0,0.3333333333333333
Galax city,43204.5,2,0,0.0
Gallatin County,77833.0,7,6,0.038461538461538464
Gallia County,56140.0,1,1,0.42857142857142855
Galveston County,70820.5,55,37,0.2727272727272727
Garden County,64044.0,0,0,0.0
Garfield County,70583.5,13,7,0.07142857142857142
Garland County,52853.0,13,9,0.55
Garrard County,56138.5,0,0,0.5
Garrett County,60063.0,1,1,0.42857142857142855
Garvin County,52941.0,2,1,0.1111111111111111
Garza County,63184.0,1,1,0.0
Gasconade County,66758.0,1,0,0.0
Gaston County,57105.0,49,31,0.15384615384615385
Gates County,63333.0,0,0,0.3333333333333333
Geary County,51394.5,6,5,0.25
Geauga County,92877.0,7,7,0.42857142857142855
Gem County,48491.0,1,1,0.3333333333333333
Genesee County,58650.5,108,66,0.2777777777777778
Geneva County,50387.5,1,1,0.16666666666666666
